Token Similarity,AST Similarity,Data Flow Similarity,Runtime Similarity,Clone Type
14,26,89,6,Type-3
89,52,12,36,Type-3
41,3,67,46,Type-3
76,9,35,47,Type-3
50,48,9,39,Type-3
62,18,9,66,Type-3
95,73,45,79,Type-3
51,49,26,32,Type-3
95,47,51,95,Type-3
3,22,14,73,Type-3
93,99,34,92,Type-3
100,8,89,12,Type-3
22,65,97,73,Type-3
14,18,90,72,Type-3
42,71,67,46,Type-3
28,89,11,66,Type-3
35,50,40,13,Type-3
12,99,22,79,Type-3
31,10,41,4,Type-3
70,2,93,19,Type-3
58,60,55,16,Type-3
85,93,96,44,Type-3
27,81,79,78,Type-3
65,16,27,63,Type-3
41,72,67,43,Type-3
44,29,86,10,Type-3
61,79,69,67,Type-3
56,7,16,19,Type-3
5,40,53,92,Type-3
27,25,96,22,Type-3
27,4,70,10,Type-3
43,68,100,14,Type-3
83,23,92,49,Type-3
29,77,66,92,Type-3
61,68,18,62,Type-3
74,35,46,88,Type-3
91,88,29,24,Type-3
88,16,37,54,Type-3
61,69,50,90,Type-3
96,70,31,6,Type-3
0,45,68,19,Type-3
26,78,81,42,Type-3
61,69,49,62,Type-3
76,31,20,66,Type-3
2,59,17,27,Type-3
69,41,50,98,Type-3
71,39,64,37,Type-3
26,26,12,88,Type-3
8,4,75,92,Type-3
61,60,89,33,Type-3
36,60,35,29,Type-3
96,79,61,74,Type-3
50,51,83,37,Type-3
43,74,78,24,Type-3
23,88,57,29,Type-3
78,65,57,95,Type-3
58,91,0,42,Type-3
31,6,76,53,Type-3
95,37,88,36,Type-3
87,50,10,10,Type-3
51,0,48,48,Type-3
61,81,26,9,Type-3
57,75,80,51,Type-3
51,48,85,72,Type-3
11,71,55,9,Type-3
38,19,28,33,Type-3
1,98,75,59,Type-3
2,41,38,19,Type-3
100,15,60,4,Type-3
55,32,43,66,Type-3
80,88,73,24,Type-3
58,82,31,83,Type-3
1,98,11,13,Type-3
1,15,65,0,Type-3
91,15,47,71,Type-3
53,47,65,18,Type-3
86,88,18,78,Type-3
100,95,53,53,Type-3
95,54,35,66,Type-3
96,27,69,67,Type-3
0,72,14,61,Type-3
18,81,5,98,Type-3
1,22,42,85,Type-3
52,29,1,19,Type-3
43,60,56,64,Type-3
89,95,39,77,Type-3
31,87,76,65,Type-3
69,74,85,48,Type-3
31,25,12,94,Type-3
67,10,59,27,Type-3
54,19,77,63,Type-3
74,43,55,21,Type-3
55,17,41,51,Type-3
16,33,53,8,Type-3
37,99,13,50,Type-3
23,3,80,84,Type-3
68,84,45,73,Type-3
97,89,83,97,Type-3
69,13,2,22,Type-3
85,89,56,91,Type-3
10,12,26,25,Type-3
15,89,68,4,Type-3
96,40,52,15,Type-3
72,78,26,11,Type-3
58,90,36,66,Type-3
69,56,88,55,Type-3
79,86,5,58,Type-3
92,21,65,26,Type-3
2,9,100,65,Type-3
19,68,39,49,Type-3
58,67,78,84,Type-3
35,49,73,37,Type-3
18,99,85,58,Type-3
89,15,73,4,Type-3
66,95,50,76,Type-3
18,10,35,63,Type-3
19,96,29,28,Type-3
95,98,85,98,Type-3
70,67,1,66,Type-3
51,86,97,43,Type-3
32,66,27,98,Type-3
39,19,67,2,Type-3
38,64,59,73,Type-3
81,32,50,68,Type-3
0,9,20,59,Type-3
10,66,80,9,Type-3
91,54,40,87,Type-3
56,31,83,91,Type-3
88,44,59,49,Type-3
49,58,53,10,Type-3
22,30,43,98,Type-3
30,84,95,48,Type-3
93,87,42,27,Type-3
41,87,72,53,Type-3
98,51,48,27,Type-3
6,9,2,84,Type-4
15,5,96,78,Type-3
89,91,43,59,Type-3
59,0,38,48,Type-3
1,45,63,13,Type-3
0,73,99,67,Type-3
47,29,77,6,Type-3
11,78,70,2,Type-3
68,77,43,26,Type-3
36,62,41,26,Type-3
31,87,27,19,Type-3
8,62,78,15,Type-3
98,73,55,45,Type-3
18,89,49,65,Type-3
47,0,93,50,Type-3
79,19,26,6,Type-3
2,28,2,63,Type-3
19,33,73,39,Type-3
23,65,80,71,Type-3
53,65,60,10,Type-3
32,1,85,74,Type-3
23,71,16,68,Type-3
74,53,56,83,Type-3
71,88,92,60,Type-3
35,17,44,28,Type-3
37,80,35,39,Type-3
83,29,29,16,Type-3
98,7,95,6,Type-3
88,41,23,59,Type-3
98,28,1,53,Type-3
24,50,47,37,Type-3
92,82,6,100,Type-3
17,100,75,28,Type-3
81,23,62,18,Type-3
65,81,83,8,Type-3
53,9,53,18,Type-3
34,15,67,64,Type-3
79,49,52,74,Type-3
60,40,65,19,Type-3
40,53,37,44,Type-3
99,43,29,48,Type-3
32,59,3,70,Type-3
67,68,19,20,Type-3
32,78,88,67,Type-3
13,22,57,99,Type-3
20,94,36,12,Type-3
47,93,93,4,Type-3
19,70,98,79,Type-3
7,19,73,70,Type-3
6,38,12,39,Type-3
66,2,3,42,Type-3
16,2,21,51,Type-3
32,30,74,46,Type-3
47,6,36,27,Type-3
75,0,13,56,Type-3
58,55,9,29,Type-3
85,26,23,64,Type-3
21,64,30,91,Type-3
29,69,28,46,Type-3
37,83,56,42,Type-3
50,38,82,69,Type-3
53,2,58,3,Type-3
7,58,1,4,Type-3
26,1,24,15,Type-3
26,46,21,96,Type-3
97,95,0,46,Type-3
20,19,7,97,Type-3
29,99,40,55,Type-3
96,26,65,7,Type-3
27,83,99,100,Type-3
63,18,8,17,Type-3
96,54,52,94,Type-3
68,62,27,99,Type-3
60,84,6,1,Type-3
47,42,62,22,Type-3
18,83,77,71,Type-3
3,4,81,69,Type-3
34,19,31,72,Type-3
63,75,0,91,Type-3
48,60,22,32,Type-3
16,61,10,71,Type-3
43,73,95,4,Type-3
91,62,54,32,Type-3
29,21,23,88,Type-3
92,37,56,33,Type-3
45,91,68,59,Type-3
5,11,98,0,Type-3
98,73,61,40,Type-3
36,60,84,32,Type-3
23,98,83,46,Type-3
92,47,93,38,Type-3
45,100,85,32,Type-3
52,16,73,98,Type-3
94,90,69,0,Type-3
98,51,76,80,Type-3
59,45,57,47,Type-3
96,55,99,10,Type-3
62,28,11,32,Type-3
84,89,70,98,Type-3
31,72,82,55,Type-3
86,50,85,42,Type-3
32,75,4,54,Type-3
66,25,65,7,Type-3
17,96,74,12,Type-3
24,95,4,26,Type-3
94,74,43,80,Type-3
53,28,4,69,Type-3
57,58,71,9,Type-3
66,7,66,95,Type-3
45,24,76,67,Type-3
23,83,18,12,Type-3
31,20,1,75,Type-3
46,3,1,1,Type-3
85,35,33,98,Type-3
22,42,99,90,Type-3
65,92,78,96,Type-3
26,82,4,44,Type-3
1,25,61,94,Type-3
89,35,96,27,Type-3
16,88,9,24,Type-3
32,22,91,3,Type-3
8,91,1,87,Type-3
42,40,49,58,Type-3
47,74,75,39,Type-3
38,92,5,48,Type-3
92,43,31,24,Type-3
41,49,3,49,Type-3
25,83,73,11,Type-3
98,8,22,70,Type-3
49,87,4,20,Type-3
24,46,9,18,Type-3
23,40,13,85,Type-3
12,12,68,0,Type-3
59,57,68,38,Type-3
6,65,40,31,Type-3
56,80,57,10,Type-3
35,57,99,0,Type-3
44,90,53,76,Type-3
19,65,45,83,Type-3
64,32,73,94,Type-3
7,68,52,4,Type-3
15,77,33,24,Type-3
13,26,77,47,Type-3
75,49,34,33,Type-3
86,58,87,42,Type-3
14,99,91,63,Type-3
91,90,27,15,Type-3
97,77,19,62,Type-3
65,78,68,86,Type-3
31,26,55,63,Type-3
86,58,55,16,Type-3
62,55,68,58,Type-3
85,71,34,74,Type-3
50,84,7,39,Type-3
24,33,93,74,Type-3
57,48,100,0,Type-3
62,91,93,1,Type-3
61,87,32,96,Type-3
21,16,29,77,Type-3
57,69,32,31,Type-3
57,37,61,61,Type-3
85,82,59,57,Type-3
48,0,22,49,Type-3
51,37,90,36,Type-3
41,25,98,28,Type-3
69,68,55,79,Type-3
14,67,42,94,Type-3
53,24,10,7,Type-3
59,57,19,64,Type-3
100,44,70,51,Type-3
96,21,69,90,Type-3
7,47,92,77,Type-3
52,12,60,29,Type-3
59,86,32,55,Type-3
4,96,7,18,Type-3
67,24,60,15,Type-3
5,9,87,62,Type-3
95,17,21,70,Type-3
93,54,55,4,Type-3
46,26,85,74,Type-3
98,55,47,70,Type-3
54,55,20,19,Type-3
39,48,20,59,Type-3
51,25,60,90,Type-3
15,1,53,29,Type-3
12,73,58,30,Type-3
29,59,5,22,Type-3
18,83,24,15,Type-3
16,37,31,58,Type-3
62,2,60,60,Type-3
18,73,34,95,Type-3
91,91,61,35,Type-3
57,82,72,87,Type-3
54,80,24,98,Type-3
89,52,88,48,Type-3
100,43,48,38,Type-3
89,22,7,12,Type-3
61,27,42,66,Type-3
22,90,38,63,Type-3
8,31,33,94,Type-3
11,75,28,37,Type-3
0,19,42,21,Type-3
57,5,59,39,Type-3
0,2,45,16,Type-3
33,2,45,93,Type-3
95,22,65,46,Type-3
47,72,54,97,Type-3
88,32,62,17,Type-3
0,35,83,43,Type-3
15,63,86,38,Type-3
60,11,30,20,Type-3
63,61,43,31,Type-3
62,25,26,31,Type-3
68,36,20,1,Type-3
21,47,59,32,Type-3
92,73,67,21,Type-3
66,43,43,33,Type-3
75,10,40,71,Type-3
25,82,79,32,Type-3
15,68,45,4,Type-3
50,23,48,54,Type-3
100,98,8,33,Type-3
85,91,37,99,Type-3
56,93,94,36,Type-3
28,18,86,44,Type-3
77,69,75,54,Type-3
91,55,1,45,Type-3
68,48,92,100,Type-3
46,82,18,4,Type-3
93,56,13,41,Type-3
61,94,63,68,Type-3
68,10,53,22,Type-3
75,62,22,20,Type-3
15,80,4,74,Type-3
89,16,27,28,Type-3
89,14,50,45,Type-3
47,69,83,67,Type-3
84,61,9,43,Type-3
38,31,10,20,Type-3
99,39,75,22,Type-3
32,10,70,54,Type-3
93,12,23,95,Type-3
100,80,68,59,Type-3
22,27,44,72,Type-3
9,81,86,57,Type-3
68,27,86,37,Type-3
99,47,7,38,Type-3
33,54,33,3,Type-3
51,15,33,23,Type-3
94,35,49,96,Type-3
9,39,45,73,Type-3
18,19,1,63,Type-3
57,90,41,40,Type-3
95,96,65,23,Type-3
0,1,60,87,Type-3
68,76,1,58,Type-3
3,1,30,35,Type-3
15,100,46,69,Type-3
23,68,99,12,Type-3
79,69,60,20,Type-3
1,49,7,70,Type-3
91,95,51,85,Type-3
31,47,71,31,Type-3
90,23,97,50,Type-3
83,80,20,41,Type-3
23,8,42,71,Type-3
11,39,14,52,Type-3
49,39,57,27,Type-3
34,1,83,84,Type-3
32,72,68,9,Type-3
32,5,12,6,Type-3
60,18,15,11,Type-3
50,96,37,87,Type-3
42,18,2,38,Type-3
100,32,64,78,Type-3
11,60,58,39,Type-3
66,29,46,45,Type-3
64,61,69,6,Type-3
32,12,38,36,Type-3
39,17,50,58,Type-3
73,1,49,39,Type-3
42,2,90,7,Type-3
43,5,0,6,Type-3
28,27,23,74,Type-3
12,76,12,17,Type-3
11,83,29,49,Type-3
94,31,85,41,Type-3
45,59,51,51,Type-3
1,30,0,23,Type-3
34,60,28,28,Type-3
86,8,89,65,Type-3
80,66,71,4,Type-3
89,53,100,65,Type-3
7,94,86,29,Type-3
92,78,86,44,Type-3
25,67,33,44,Type-3
73,16,61,3,Type-3
89,58,65,35,Type-3
33,30,100,37,Type-3
6,92,17,34,Type-3
67,74,61,55,Type-3
57,60,60,69,Type-3
74,95,18,69,Type-3
28,39,51,93,Type-3
35,2,45,20,Type-3
88,49,76,53,Type-3
20,0,92,62,Type-3
35,7,65,87,Type-3
9,61,7,47,Type-3
100,63,83,39,Type-3
72,40,9,38,Type-3
23,16,87,97,Type-3
63,71,23,38,Type-3
98,42,26,10,Type-3
48,96,19,2,Type-3
98,89,82,28,Type-3
35,1,18,96,Type-3
81,46,58,14,Type-3
95,59,18,10,Type-3
23,48,2,47,Type-3
22,92,57,46,Type-3
61,14,64,67,Type-3
95,93,95,100,Type-3
36,49,36,22,Type-3
11,45,93,71,Type-3
54,75,38,92,Type-3
12,1,36,24,Type-3
22,84,23,44,Type-3
88,28,22,39,Type-3
98,28,73,69,Type-3
29,79,25,21,Type-3
16,94,79,50,Type-3
61,60,0,95,Type-3
83,96,6,21,Type-3
88,65,12,2,Type-3
85,43,52,64,Type-3
12,3,60,43,Type-3
58,38,35,11,Type-3
18,59,20,93,Type-3
48,48,19,76,Type-3
99,4,19,60,Type-3
11,65,73,32,Type-3
60,44,63,39,Type-3
18,59,0,72,Type-3
75,7,43,61,Type-3
8,49,90,43,Type-3
70,35,62,61,Type-3
27,69,32,36,Type-3
77,40,77,27,Type-3
94,9,18,18,Type-3
51,35,90,34,Type-3
82,67,40,24,Type-3
15,13,52,31,Type-3
68,75,23,96,Type-3
98,16,74,70,Type-3
11,20,54,17,Type-3
24,76,94,60,Type-3
51,96,75,40,Type-3
84,53,52,39,Type-3
99,12,89,58,Type-3
52,47,84,53,Type-3
22,44,97,13,Type-3
15,8,37,12,Type-3
56,54,36,90,Type-3
38,49,2,29,Type-3
52,19,88,53,Type-3
41,39,46,49,Type-3
57,0,5,93,Type-3
38,76,44,85,Type-3
13,85,86,91,Type-3
94,76,38,8,Type-3
4,63,71,23,Type-3
34,34,4,26,Type-3
86,64,99,69,Type-3
92,52,82,3,Type-3
74,96,89,83,Type-3
17,60,100,3,Type-3
75,4,81,2,Type-3
8,93,8,70,Type-3
73,68,31,100,Type-3
57,88,22,28,Type-3
16,59,38,79,Type-3
6,89,79,40,Type-3
45,18,65,11,Type-3
12,75,6,44,Type-3
39,56,51,55,Type-3
41,7,69,31,Type-3
8,73,25,27,Type-3
49,17,3,97,Type-3
26,10,51,83,Type-3
65,61,93,33,Type-3
4,29,92,57,Type-3
28,4,37,4,Type-3
36,87,46,75,Type-3
37,76,62,26,Type-3
82,55,0,41,Type-3
7,35,96,85,Type-3
64,26,58,56,Type-3
85,31,25,94,Type-3
16,13,63,24,Type-3
70,40,27,84,Type-3
88,65,92,1,Type-3
44,3,99,94,Type-3
3,10,66,4,Type-3
35,100,43,78,Type-3
69,47,44,79,Type-3
30,36,12,11,Type-3
18,12,1,54,Type-3
60,72,8,90,Type-3
53,41,68,28,Type-3
38,26,65,2,Type-3
90,65,23,27,Type-3
73,46,88,13,Type-3
89,90,68,46,Type-3
18,75,31,82,Type-3
38,11,93,0,Type-3
66,66,77,16,Type-3
44,25,16,58,Type-3
12,78,73,63,Type-3
91,26,97,98,Type-3
57,34,82,98,Type-3
19,12,52,29,Type-3
91,55,83,71,Type-3
71,68,75,15,Type-3
60,42,100,10,Type-3
38,80,89,58,Type-3
0,82,74,11,Type-3
2,83,9,60,Type-3
76,58,72,55,Type-3
91,86,26,42,Type-3
61,11,9,8,Type-3
62,95,31,1,Type-3
24,28,4,63,Type-3
55,4,91,72,Type-3
32,48,91,84,Type-3
37,63,9,45,Type-3
5,42,9,49,Type-3
57,65,99,23,Type-3
43,5,45,4,Type-3
44,84,58,50,Type-3
31,98,51,4,Type-3
44,14,7,100,Type-3
60,17,14,85,Type-3
46,48,70,40,Type-3
20,46,74,90,Type-3
79,1,31,49,Type-3
84,4,92,22,Type-3
74,36,42,30,Type-3
100,5,57,90,Type-3
35,41,70,58,Type-3
98,50,76,92,Type-3
18,82,38,83,Type-3
19,15,61,34,Type-3
56,75,46,45,Type-3
17,87,34,55,Type-3
46,72,89,16,Type-3
48,66,88,48,Type-3
13,80,49,79,Type-3
14,29,12,55,Type-3
30,26,40,8,Type-3
0,87,76,4,Type-3
53,41,40,49,Type-3
2,63,8,80,Type-3
15,49,38,17,Type-3
86,38,93,74,Type-3
56,6,58,9,Type-3
74,72,22,99,Type-3
11,15,24,28,Type-3
73,55,26,79,Type-3
95,10,69,91,Type-3
15,8,7,61,Type-4
71,0,38,14,Type-3
75,43,98,17,Type-3
23,34,32,99,Type-3
27,83,55,35,Type-3
7,50,22,82,Type-3
91,7,34,15,Type-3
35,70,67,55,Type-3
89,36,12,55,Type-3
7,100,16,50,Type-3
57,83,39,58,Type-3
59,4,75,51,Type-3
49,75,13,13,Type-3
27,20,37,59,Type-3
91,83,95,49,Type-3
100,4,64,63,Type-3
40,22,34,44,Type-3
99,56,96,99,Type-3
63,70,52,68,Type-3
26,64,9,3,Type-3
62,24,77,14,Type-3
16,18,73,85,Type-3
72,1,0,18,Type-3
32,11,87,50,Type-3
83,41,71,48,Type-3
76,24,42,90,Type-3
91,95,17,79,Type-3
28,47,68,12,Type-3
12,81,39,10,Type-3
45,30,61,36,Type-3
34,57,14,90,Type-3
5,60,68,16,Type-3
81,43,59,21,Type-3
68,8,85,27,Type-3
46,20,90,0,Type-3
24,53,33,73,Type-3
65,70,34,78,Type-3
9,12,88,13,Type-3
55,83,60,41,Type-3
29,12,58,21,Type-3
4,51,1,69,Type-3
32,27,22,59,Type-3
64,100,20,13,Type-3
17,88,4,100,Type-3
95,45,90,92,Type-3
48,47,17,70,Type-3
10,89,33,0,Type-3
84,96,99,51,Type-3
25,39,26,76,Type-3
62,53,50,17,Type-3
88,26,27,83,Type-3
85,78,78,32,Type-3
58,2,88,75,Type-3
26,92,82,5,Type-3
48,94,16,67,Type-3
76,58,96,97,Type-3
32,17,0,100,Type-3
97,23,26,75,Type-3
98,60,58,26,Type-3
0,56,73,57,Type-3
20,43,38,76,Type-3
54,46,53,37,Type-3
5,71,73,39,Type-3
91,92,95,62,Type-3
80,36,53,53,Type-3
68,36,84,7,Type-3
94,72,71,88,Type-3
4,44,72,44,Type-3
2,29,35,41,Type-3
52,14,17,90,Type-3
22,75,4,32,Type-3
100,26,45,47,Type-3
52,46,85,22,Type-3
36,46,77,94,Type-3
73,30,95,94,Type-3
73,76,31,97,Type-3
82,14,75,75,Type-3
16,53,68,38,Type-3
84,68,91,65,Type-3
77,41,27,65,Type-3
72,61,92,78,Type-3
0,24,97,99,Type-3
50,11,16,31,Type-3
44,8,53,84,Type-3
76,89,13,21,Type-3
3,36,39,98,Type-3
61,8,79,32,Type-3
64,68,84,20,Type-3
31,54,90,64,Type-3
33,45,13,100,Type-3
91,70,1,24,Type-3
94,40,6,45,Type-3
71,94,82,69,Type-3
38,100,21,68,Type-3
25,6,17,93,Type-3
33,4,92,37,Type-3
53,51,87,7,Type-3
2,80,7,48,Type-3
49,74,98,27,Type-3
11,36,98,43,Type-3
64,59,42,73,Type-3
53,35,99,23,Type-3
4,90,37,55,Type-3
93,0,73,27,Type-3
93,0,54,51,Type-3
56,77,49,12,Type-3
16,59,48,22,Type-3
46,91,95,3,Type-3
22,40,35,91,Type-3
78,64,29,50,Type-3
100,7,78,65,Type-3
84,40,15,18,Type-3
13,46,86,5,Type-3
65,89,78,88,Type-3
74,35,69,27,Type-3
50,92,70,38,Type-3
37,3,78,88,Type-3
63,41,23,64,Type-3
97,1,66,21,Type-3
37,93,52,11,Type-3
49,46,55,13,Type-3
97,19,47,33,Type-3
81,29,77,46,Type-3
29,81,20,47,Type-3
78,29,8,78,Type-3
90,98,55,69,Type-3
50,0,40,43,Type-3
62,57,42,95,Type-3
97,66,11,8,Type-3
51,22,23,73,Type-3
37,44,43,59,Type-3
96,21,19,41,Type-3
87,48,34,35,Type-3
78,47,34,10,Type-3
29,62,97,57,Type-3
50,47,91,22,Type-3
80,43,48,10,Type-3
4,50,4,94,Type-3
28,61,47,20,Type-3
3,78,46,24,Type-3
9,40,81,31,Type-3
55,79,54,26,Type-3
16,26,72,23,Type-3
73,95,69,48,Type-3
16,97,70,100,Type-3
83,56,0,67,Type-3
87,41,93,35,Type-3
68,11,21,9,Type-3
33,81,96,77,Type-3
5,81,35,92,Type-3
52,59,62,80,Type-3
65,63,4,9,Type-3
76,3,46,100,Type-3
42,97,90,42,Type-3
74,38,49,11,Type-3
22,18,55,57,Type-3
54,61,83,16,Type-3
79,44,97,32,Type-3
94,60,35,57,Type-3
74,30,84,63,Type-3
15,48,14,22,Type-3
7,30,81,29,Type-3
3,41,48,2,Type-3
3,47,85,97,Type-3
55,19,38,80,Type-3
24,83,69,53,Type-3
66,95,15,63,Type-3
95,19,53,76,Type-3
66,15,91,65,Type-3
26,56,29,20,Type-3
92,18,57,9,Type-3
31,94,73,6,Type-3
49,12,73,24,Type-3
60,19,66,90,Type-3
50,75,40,27,Type-3
18,48,17,83,Type-3
20,25,85,33,Type-3
4,34,62,66,Type-3
81,40,28,5,Type-3
91,9,71,82,Type-3
41,75,59,44,Type-3
60,23,71,60,Type-3
21,72,2,35,Type-3
20,68,93,85,Type-3
69,30,9,81,Type-3
0,53,71,55,Type-3
4,57,56,40,Type-3
11,97,70,30,Type-3
89,59,18,40,Type-3
45,10,13,98,Type-3
33,72,49,29,Type-3
48,85,32,7,Type-3
77,39,63,5,Type-3
89,54,91,5,Type-3
44,46,83,95,Type-3
26,91,39,51,Type-3
72,60,64,5,Type-3
25,79,89,60,Type-3
46,73,73,86,Type-3
85,33,31,68,Type-3
55,61,31,4,Type-3
93,78,19,1,Type-3
62,81,35,52,Type-3
47,44,93,4,Type-3
60,94,33,99,Type-3
80,4,32,66,Type-3
25,50,77,95,Type-3
35,96,21,59,Type-3
0,57,91,77,Type-3
7,92,29,14,Type-3
98,2,62,8,Type-3
51,22,46,97,Type-3
78,9,7,34,Type-3
46,46,27,5,Type-3
55,31,84,91,Type-3
85,47,72,49,Type-3
13,26,44,39,Type-3
89,35,79,63,Type-3
27,87,55,60,Type-3
86,53,91,37,Type-3
77,19,54,55,Type-3
87,2,64,33,Type-3
1,68,100,22,Type-3
25,2,4,2,Type-3
13,39,54,4,Type-3
58,59,11,87,Type-3
55,69,9,80,Type-3
6,78,81,32,Type-3
2,69,78,95,Type-3
22,22,44,41,Type-3
17,59,65,80,Type-3
37,29,79,24,Type-3
98,38,72,74,Type-3
14,39,92,65,Type-3
63,47,79,35,Type-3
88,84,75,6,Type-3
100,44,77,85,Type-3
27,36,37,22,Type-3
73,21,32,89,Type-3
38,51,60,61,Type-3
56,1,88,77,Type-3
16,13,86,44,Type-3
85,17,70,83,Type-3
89,49,46,5,Type-3
43,14,96,0,Type-3
24,36,6,24,Type-3
16,1,84,28,Type-3
12,83,10,25,Type-3
83,73,81,87,Type-3
24,68,74,46,Type-3
67,31,84,82,Type-3
9,65,82,13,Type-3
66,56,90,41,Type-3
17,60,11,38,Type-3
99,4,65,59,Type-3
85,84,69,5,Type-3
33,17,77,48,Type-3
7,47,47,23,Type-3
39,39,24,22,Type-3
82,67,38,36,Type-3
41,95,78,75,Type-3
40,99,23,44,Type-3
100,55,20,7,Type-3
5,3,96,94,Type-3
51,16,19,65,Type-3
25,51,43,3,Type-3
63,62,47,52,Type-3
97,41,5,88,Type-3
58,32,71,34,Type-3
55,85,30,98,Type-3
58,17,70,10,Type-3
69,26,35,19,Type-3
100,78,91,86,Type-3
32,60,36,48,Type-3
52,24,33,11,Type-3
21,60,87,1,Type-3
20,9,99,90,Type-3
69,79,5,99,Type-3
69,3,87,43,Type-3
3,30,75,24,Type-3
93,31,59,40,Type-3
74,23,30,16,Type-3
61,58,29,69,Type-3
61,17,18,95,Type-3
93,95,21,91,Type-3
94,91,28,91,Type-3
23,74,18,88,Type-3
54,71,85,98,Type-3
8,64,47,22,Type-3
2,1,52,2,Type-3
30,20,74,55,Type-3
39,82,35,85,Type-3
100,41,18,47,Type-3
35,93,3,89,Type-3
23,24,14,46,Type-3
94,52,62,14,Type-3
5,8,5,91,Type-4
65,41,84,70,Type-3
83,27,64,16,Type-3
91,36,3,35,Type-3
74,60,79,37,Type-3
3,58,92,9,Type-3
78,31,25,26,Type-3
5,40,95,45,Type-3
93,74,83,17,Type-3
50,84,64,88,Type-3
61,23,80,44,Type-3
56,64,3,69,Type-3
65,79,99,55,Type-3
78,87,35,13,Type-3
